# ============================================================================
# KTP OP Anonymization - Coverage Inventory
# ============================================================================
# THE SINGLE SOURCE OF TRUTH for what gets anonymized.
#
# Read by: the engine (what to change), the dry run (what would change),
#          the verifier (what must be gone), and the coverage doc generator.
# Because all four read this file, they cannot disagree with each other.
#
# FORMAT: table_name,column_name,rule,category,source,notes
#   Lines starting with # are comments. Blank lines are ignored.
#   Everything is case-insensitive.
#
# RULE:
#   CODE        Replace the identifier using anon_meta.code_map.
#   NULL_OUT    Free text / PII -> NULL. ALWAYS applied, never configurable.
#   DESCRIPTION Label column -> the row's own new code (keeps the UI readable).
#   SELF_CODE   Per-entity PII attribute -> the row's own new code.
#
# CATEGORY:
#   ANY           Column may hold entity, portfolio or counterparty codes.
#                 Mapping is searched unrestricted.
#   BANK_ACCOUNT  Column references compte_banque.code. Mapping is RESTRICTED
#                 to bank-account codes, because a compte_banque.code can be
#                 textually identical to a tiers.code and would otherwise be
#                 rewritten with the wrong mapping.
#   ENTITY /      Owning category for DESCRIPTION and SELF_CODE rules; selects
#   PORTFOLIO /   which ANONYMIZE_<CATEGORY>_DESCRIPTION flag gates the column.
#   COUNTERPARTY
#   NONE          NULL_OUT only. Free text is never category-dependent.
#
# ----------------------------------------------------------------------------
# WHAT anonymization.ini CAN AND CANNOT SWITCH OFF
# ----------------------------------------------------------------------------
# The flags do NOT filter this file by table. Only PART B below - 8 rows out of
# 562 - can be turned off by a flag.
#
#   PART A   applied on every run, no flag can disable it
#     CODE       462 rows   The flags act on the MAPPING, not on this list. A
#                           disabled category has no rows in anon_meta.code_map,
#                           so these statements still run but find nothing of
#                           that category to substitute. Filtering happens per
#                           VALUE, not per table or column.
#     NULL_OUT    92 rows   Never optional. Free text is the highest-risk
#                           category and the least useful to preserve.
#
#   PART B   switchable
#     DESCRIPTION  3 rows   ANONYMIZE_<CATEGORY>_DESCRIPTION
#     SELF_CODE    5 rows   ANONYMIZE_<CATEGORY>_ATTRIBUTES
#
# To exclude a specific table or column, comment its line out here. That is the
# per-column control; the flags are the per-category control.
#
# Review of which rows SHOULD be flag-gated is open - see
# docs/08_open_questions.md.
#
# To extend coverage, prefer config/inventory_op_custom.csv - it survives
# upgrades of this file.
# ============================================================================

table_name,column_name,rule,category,source,notes
compte_regle_bqe,depositaire,CODE,ANY,BASE,
compte_regle_bqe,entite,CODE,ANY,BASE,
compte_regle_bqe,compte,CODE,BANK_ACCOUNT,BASE,
compte_regle_liv,contrepartie,CODE,ANY,BASE,
compte_regle_liv,entite,CODE,ANY,BASE,
compte_regle_liv,portefeuille,CODE,ANY,BASE,
compte_regle_liv,depositaire,CODE,ANY,BASE,
compte_regle_liv,compte,CODE,BANK_ACCOUNT,BASE,
compte_titre,depositaire,CODE,ANY,BASE,
compte_titre,entite,CODE,ANY,BASE,
contrat,emetteur,CODE,ANY,BASE,
contrat_cadre,entite,CODE,ANY,BASE,
contrat_cadre,federateur,CODE,ANY,BASE,
contrat_cadre,compte_echelle,CODE,BANK_ACCOUNT,BASE,
contrat_instrument,entite,CODE,ANY,BASE,
contrat_instrument,federateur,CODE,ANY,BASE,
ctpyrating,counterparty,CODE,ANY,BASE,
deposit_fils,portefeuille,CODE,ANY,BASE,
deposit_fils,portefeuille_pere,CODE,ANY,BASE,
deposit_pere,portefeuille,CODE,ANY,BASE,
deposit_pere,portefeuille_depo,CODE,ANY,BASE,
echelle,entite_mere,CODE,ANY,BASE,
echelle,portefeuille_mere,CODE,ANY,BASE,
echelle,compte_reglement,CODE,BANK_ACCOUNT,BASE,
echelle_condition,code,CODE,ANY,BASE,
echelle_cond_date,condition,CODE,ANY,BASE,
echelle_compte,compte,CODE,BANK_ACCOUNT,BASE,
echelle_marge,condition,CODE,ANY,BASE,
fifo_solde_depo,compensateur,CODE,ANY,BASE,
fifo_solde_depo,depositaire,CODE,ANY,BASE,
fifo_solde_depo,portefeuille,CODE,ANY,BASE,
frais_gestion,portefeuille,CODE,ANY,BASE,
groupe_detail,portefeuille,CODE,ANY,BASE,
groupe_provision,entite,CODE,ANY,BASE,
decouvert_compte,compte,CODE,BANK_ACCOUNT,BASE,
marge_compte_de,contrepartie,CODE,ANY,BASE,
marge_regle,contrepartie,CODE,ANY,BASE,
marge_regle,entite,CODE,ANY,BASE,
param_arrete,entite,CODE,ANY,BASE,
param_bafi_cpt,entite,CODE,ANY,BASE,
param_clonage,por_maitre,CODE,ANY,BASE,
param_clonage,por_clone,CODE,ANY,BASE,
param_cpta_reg_gen,portefeuille,CODE,ANY,BASE,
param_cpta_reg_gen,compte_ana,CODE,BANK_ACCOUNT,BASE,
param_cpta_reg_ven,banque,CODE,ANY,BASE,
param_cpta_reg_ven,entite,CODE,ANY,BASE,
param_cpta_reg_ven,portefeuille,CODE,ANY,BASE,
param_cpta_reg_ven,compte,CODE,BANK_ACCOUNT,BASE,
param_date,portefeuille,CODE,ANY,BASE,
param_date,contrepartie,CODE,ANY,BASE,
param_effet_paye,compte,CODE,BANK_ACCOUNT,BASE,
param_effet_recu,compte,CODE,BANK_ACCOUNT,BASE,
param_fiche_val_detail,code,CODE,ANY,BASE,
param_garanti_taux,assureur,CODE,ANY,BASE,
param_net_reg,compte_comp,CODE,BANK_ACCOUNT,BASE,
param_net_reg,compte_pivot,CODE,BANK_ACCOUNT,BASE,
param_ope_bloc,portefeuille_pere,CODE,ANY,BASE,
param_ope_bloc,portefeuille_fils,CODE,ANY,BASE,
param_parapheur_det,filiale,CODE,ANY,BASE,
param_rappro_stock,depositaire,CODE,ANY,BASE,
param_sign_user,filiale,CODE,ANY,BASE,
photo,entite,CODE,ANY,BASE,
photo_budget,entite,CODE,ANY,BASE,
photo_flux,entite,CODE,ANY,BASE,
prevision_param,entite,CODE,ANY,BASE,
prevision_param,compte,CODE,BANK_ACCOUNT,BASE,
regle_rappro_auto,banque,CODE,ANY,BASE,
regle_rappro_auto,entite,CODE,ANY,BASE,
regle_rappro_auto,compte,CODE,BANK_ACCOUNT,BASE,
reglement_decalage,banque,CODE,ANY,BASE,
reglement_decalage,compte,CODE,BANK_ACCOUNT,BASE,
reglement_flux,entite,CODE,ANY,BASE,
reglement_flux,tiers,CODE,ANY,BASE,
reglement_flux,compte,CODE,BANK_ACCOUNT,BASE,
reglement_regle,banque,CODE,ANY,BASE,
reglement_regle,compte,CODE,BANK_ACCOUNT,BASE,
spread_breakdown,portfolio,CODE,ANY,BASE,
spread_breakdown,entity,CODE,ANY,BASE,
spread_breakdown,issuer,CODE,ANY,BASE,
stress_results,portefeuille,CODE,ANY,BASE,
tiers_compteur,tiers,CODE,ANY,BASE,
tiers_foyer,foyer,CODE,ANY,BASE,
tiers_foyer,foyer_appartenance,CODE,ANY,BASE,
tiers_limite,tiers,CODE,ANY,BASE,
tiers_limite,entite,CODE,ANY,BASE,
titre,emetteur,CODE,ANY,BASE,
titre,bafi_garant,CODE,ANY,BASE,
titre,depositaire,CODE,ANY,BASE,
titre,domiciliataire,CODE,ANY,BASE,
val_bank_account,code,CODE,BANK_ACCOUNT,BASE,
val_affilied_code,code_ref,CODE,ANY,BASE,
val_third_party,adresse1,CODE,ANY,BASE,
val_third_party,code,CODE,ANY,BASE,
val_third_party,tiers_conso,CODE,ANY,BASE,
val_table_security,code,CODE,ANY,BASE,
valo_ccy_volat_rule,portfolio,CODE,ANY,BASE,
valo_ccy_volat_rule,entity,CODE,ANY,BASE,
valo_regle,portefeuille,CODE,ANY,BASE,
valo_regle,entite,CODE,ANY,BASE,
ventiler_contrat_cadre,entite,CODE,ANY,BASE,
ventiler_contrat_cadre,tiers,CODE,ANY,BASE,
ventiler_corresp,banque,CODE,ANY,BASE,
ventiler_corresp,contrepartie,CODE,ANY,BASE,
ventiler_corresp,correspondant_1,CODE,ANY,BASE,
ventiler_corresp,correspondant_2,CODE,ANY,BASE,
ventiler_corresp_bqe,tiers_entite,CODE,ANY,BASE,
ventiler_corresp_bqe,contrepartie,CODE,ANY,BASE,
ventiler_corresp_bqe,correspondant_1,CODE,ANY,BASE,
ventiler_corresp_bqe,correspondant_2,CODE,ANY,BASE,
ventiler_corresp_bqe,banque,CODE,ANY,BASE,
ventiler_portef,contrepartie,CODE,ANY,BASE,
ventiler_portef,portefeuille,CODE,ANY,BASE,
ventiler_reg_liv,depositaire,CODE,ANY,BASE,
ventiler_reg_liv,contrepartie,CODE,ANY,BASE,
ventiler_reg_liv,portefeuille,CODE,ANY,BASE,
vue_affilie_tiers,code_ref,CODE,ANY,BASE,
vue_affilie_compte,code_ref,CODE,ANY,BASE,
ventiler_compte,valeur_1,CODE,ANY,BASE,
ventiler_compte,valeur_2,CODE,ANY,BASE,
ventiler_compte,valeur_3,CODE,ANY,BASE,
ventiler_compte,valeur_4,CODE,ANY,BASE,
virement_compte,compte,CODE,BANK_ACCOUNT,BASE,

# ============================================================================
# SECTION 3 - HISTORY TABLES (histo_*)
# The bulk of the data - several million rows each on a production instance.
# These dominate the runtime.
# ============================================================================
histo_budget,entite,CODE,ANY,BASE,
histo_compta,tiers,CODE,ANY,BASE,
histo_compta,entite,CODE,ANY,BASE,
histo_compta,portefeuille,CODE,ANY,BASE,
histo_compta_solde,entite,CODE,ANY,BASE,
histo_courtage,tiers,CODE,ANY,BASE,
histo_couverture,tiers_deposit,CODE,ANY,BASE,
histo_couverture,tiers_reception,CODE,ANY,BASE,
histo_deposit,depositaire,CODE,ANY,BASE,
histo_deposit,portefeuille,CODE,ANY,BASE,
histo_detenteur,ancien_detenteur,CODE,ANY,BASE,
histo_detenteur,nouveau_detenteur,CODE,ANY,BASE,
histo_effet,compte,CODE,BANK_ACCOUNT,BASE,
histo_effet,compte_effet,CODE,BANK_ACCOUNT,BASE,
histo_evenement,entite,CODE,ANY,BASE,
histo_evenement,contrepartie,CODE,ANY,BASE,
histo_evenement,depositaire,CODE,ANY,BASE,
histo_evenement,entity_corresp1,CODE,ANY,BASE,
histo_evenement,entity_corresp2,CODE,ANY,BASE,
histo_facture,entite,CODE,ANY,BASE,
histo_facture,tiers,CODE,ANY,BASE,
histo_fifo_solde,portefeuille,CODE,ANY,BASE,
histo_fifo_solde,compensateur,CODE,ANY,BASE,
histo_fiscalite,entite,CODE,ANY,BASE,
histo_fiscalite,foyer,CODE,ANY,BASE,
histo_fiscalite,compte_fiscal,CODE,BANK_ACCOUNT,BASE,
histo_flux,entite,CODE,ANY,BASE,
histo_flux,portefeuille,CODE,ANY,BASE,
histo_flux,tiers,CODE,ANY,BASE,
histo_limite_tr,entite,CODE,ANY,BASE,
histo_limite_tr,tiers,CODE,ANY,BASE,
histo_ligne,compte,CODE,BANK_ACCOUNT,BASE,
histo_liv_solde,entite,CODE,ANY,BASE,
histo_livraison,entite,CODE,ANY,BASE,
histo_livraison,tiers,CODE,ANY,BASE,
histo_livraison,portefeuille,CODE,ANY,BASE,
histo_matiere,entite,CODE,ANY,BASE,
histo_matiere,tiers,CODE,ANY,BASE,
histo_matiere,portefeuille,CODE,ANY,BASE,
histo_mouv_solde,compte,CODE,BANK_ACCOUNT,BASE,
histo_mouv_titre_solde,compensateur,CODE,ANY,BASE,
histo_mouvement,entite,CODE,ANY,BASE,
histo_mouvement,compte,CODE,ANY,BASE,
histo_mouvement,compte_contrepartie,CODE,ANY,BASE,
histo_operation,clearing_member,CODE,ANY,BASE,
histo_operation,entite,CODE,ANY,BASE,
histo_operation,contrepartie,CODE,ANY,BASE,
histo_operation,compensateur,CODE,ANY,BASE,
histo_operation,filiale,CODE,ANY,BASE,
histo_operation,intermediaire,CODE,ANY,BASE,
histo_operation,portefeuille,CODE,ANY,BASE,
histo_operation,portefeuille_tiers,CODE,ANY,BASE,
histo_operation,depositaire,CODE,ANY,BASE,
histo_operation,depositaire_2,CODE,ANY,BASE,
histo_operation,emetteur,CODE,ANY,BASE,
histo_operation,corresp_receiver1,CODE,ANY,BASE,
histo_operation,corresp_receiver2,CODE,ANY,BASE,
histo_operation,corresp_sender1,CODE,ANY,BASE,
histo_operation,corresp_sender2,CODE,ANY,BASE,
histo_operation,portefeuille_deposit,CODE,ANY,BASE,
histo_operation,tiers_domicile,CODE,ANY,BASE,
histo_operation,compte_entite,CODE,ANY,BASE,
histo_operation,compte_tiers,CODE,ANY,BASE,
histo_operation,compte_filiale,CODE,ANY,BASE,
histo_operation,compte_tiers_2,CODE,ANY,BASE,
histo_operation,compte_entite_2,CODE,ANY,BASE,
histo_operation,tiers_iban_compte,CODE,ANY,BASE,
histo_parapheur,filiale,CODE,ANY,BASE,
histo_parapheur_det,filiale,CODE,ANY,BASE,
histo_position_tr,entite,CODE,ANY,BASE,
histo_prevision,compte,CODE,BANK_ACCOUNT,BASE,
histo_pricing_detail,entite,CODE,ANY,BASE,
histo_pricing_detail,portefeuille,CODE,ANY,BASE,
histo_pricing_detail,portefeuille_tiers,CODE,ANY,BASE,
histo_reg_conso,compte,CODE,BANK_ACCOUNT,BASE,
histo_reg_releve,entite,CODE,ANY,BASE,
histo_reg_releve,compte,CODE,BANK_ACCOUNT,BASE,
histo_reg_solde,entite,CODE,ANY,BASE,
histo_reg_solde,portefeuille,CODE,ANY,BASE,
histo_reg_solde,compte,CODE,BANK_ACCOUNT,BASE,
histo_reglement,entite,CODE,ANY,BASE,
histo_reglement,tiers,CODE,ANY,BASE,
histo_reglement,corresp_receiver1,CODE,ANY,BASE,
histo_reglement,corresp_receiver2,CODE,ANY,BASE,
histo_reglement,corresp_sender1,CODE,ANY,BASE,
histo_reglement,corresp_sender2,CODE,ANY,BASE,
histo_reglement,portefeuille,CODE,ANY,BASE,
histo_reglement,compte,CODE,ANY,BASE,
histo_reglement,cpty_account,CODE,ANY,BASE,
histo_titre_solde,compensateur,CODE,ANY,BASE,
histo_titre_solde,portefeuille,CODE,ANY,BASE,

# ============================================================================
# SECTION 4 - IMPORT / STAGING TABLES
# ============================================================================
import_evenement,contrepartie,CODE,ANY,BASE,
import_evenement,entite,CODE,ANY,BASE,
import_evenement,cpty_account,CODE,BANK_ACCOUNT,BASE,
import_evenement,entity_account,CODE,BANK_ACCOUNT,BASE,
import_evenement,cpty_corresp1,CODE,ANY,BASE,
import_evenement,cpty_corresp2,CODE,ANY,BASE,
import_evenement,entity_corresp1,CODE,ANY,BASE,
import_evenement,entity_corresp2,CODE,ANY,BASE,
import_operation,clearing_member,CODE,ANY,BASE,
import_operation,entite,CODE,ANY,BASE,
import_operation,contrepartie,CODE,ANY,BASE,
import_operation,compensateur,CODE,ANY,BASE,
import_operation,filiale,CODE,ANY,BASE,
import_operation,intermediaire,CODE,ANY,BASE,
import_operation,portefeuille,CODE,ANY,BASE,
import_operation,portefeuille_tiers,CODE,ANY,BASE,
import_operation,depositaire,CODE,ANY,BASE,
import_operation,depositaire_2,CODE,ANY,BASE,
import_operation,emetteur,CODE,ANY,BASE,
import_operation,corresp_receiver1,CODE,ANY,BASE,
import_operation,corresp_receiver2,CODE,ANY,BASE,
import_operation,corresp_sender1,CODE,ANY,BASE,
import_operation,corresp_sender2,CODE,ANY,BASE,
import_operation,portefeuille_deposit,CODE,ANY,BASE,
import_operation,tiers_domicile,CODE,ANY,BASE,
import_operation,compte_entite,CODE,BANK_ACCOUNT,BASE,
import_operation,compte_tiers,CODE,BANK_ACCOUNT,BASE,
import_operation,compte_filiale,CODE,BANK_ACCOUNT,BASE,
import_operation,compte_tiers_2,CODE,BANK_ACCOUNT,BASE,
import_operation,groupe_1,CODE,ANY,BASE,
import_operation,groupe_2,CODE,ANY,BASE,
import_operation,groupe_3,CODE,ANY,BASE,

# ============================================================================
# SECTION 5 - ZBA (ZERO BALANCE ACCOUNT) TABLES
# ============================================================================
zba_breakdown,centralizer_account,CODE,BANK_ACCOUNT,BASE,
zba_payment_breakdown,entity,CODE,ANY,BASE,
zba_payment_breakdown,portfolio,CODE,ANY,BASE,
zba_payment_breakdown,mirrored_entity,CODE,ANY,BASE,
zba_payment_breakdown,mirrored_portfolio,CODE,ANY,BASE,
zba_payment_breakdown,centralizer_account,CODE,BANK_ACCOUNT,BASE,
zba_payment_breakdown,current_account,CODE,BANK_ACCOUNT,BASE,
zba_payment_breakdown,mirrored_current_account,CODE,BANK_ACCOUNT,BASE,
zba_transfer_breakdown,entity,CODE,ANY,BASE,
zba_transfer_breakdown,portfolio,CODE,ANY,BASE,
zba_transfer_breakdown,counterparty,CODE,ANY,BASE,
zba_transfer_breakdown,centralizer_account,CODE,BANK_ACCOUNT,BASE,
zba_transfer_breakdown,counterparty_account,CODE,BANK_ACCOUNT,BASE,
zba_transfer_breakdown,entity_account,CODE,BANK_ACCOUNT,BASE,

# ============================================================================
# SECTION 6 - KTP EXTENSION TABLES
# Charge contracts, MPM, trade repository, and the val_* reference tables.
# Not present on every instance - missing ones are reported as SKIPPED.
# ============================================================================
charge_contract_criteria,entity,CODE,ANY,BASE,
charge_contract_criteria,bank,CODE,ANY,BASE,
charge_contract_criteria,account,CODE,BANK_ACCOUNT,BASE,
charge_contract_process,entity,CODE,ANY,BASE,
charge_contract_process,bank,CODE,ANY,BASE,
charge_contract_process,account,CODE,BANK_ACCOUNT,BASE,
charge_missing_process,entity,CODE,ANY,BASE,
charge_missing_process,bank,CODE,ANY,BASE,
charge_missing_process,account,CODE,BANK_ACCOUNT,BASE,
mpm_file_bkd,entity,CODE,ANY,BASE,
mpm_file_bkd,counterparty,CODE,ANY,BASE,
mpm_file_bkd,account,CODE,BANK_ACCOUNT,BASE,
trade_repository_breakdown,entity,CODE,ANY,BASE,
val_cptyrating,counterparty,CODE,ANY,BASE,
val_currency_account,entity,CODE,ANY,BASE,
val_currency_account,compte,CODE,BANK_ACCOUNT,BASE,
val_security_account,entite,CODE,ANY,BASE,
val_security_account,depositaire,CODE,ANY,BASE,
val_security_account,correspondant,CODE,ANY,BASE,
val_security_account,contrepartie,CODE,ANY,BASE,
val_ssi_account,portefeuille,CODE,ANY,BASE,
val_ssi_account,depositaire,CODE,ANY,BASE,
val_ssi_account,compte,CODE,BANK_ACCOUNT,BASE,
val_ssi_account,tiers_entite,CODE,ANY,BASE,
val_ssi_corresp,banque,CODE,ANY,BASE,
val_ssi_corresp,contrepartie,CODE,ANY,BASE,
val_ssi_corresp,correspondant_1,CODE,ANY,BASE,
val_ssi_corresp,correspondant_2,CODE,ANY,BASE,
val_ssi_corresp,tiers_entite,CODE,ANY,BASE,
val_third_party_limit,entite,CODE,ANY,BASE,
val_third_party_limit,tiers,CODE,ANY,BASE,

# ============================================================================
# SECTION 7 - CTI TABLES
# cm_* Cash Management, dm_* Deal Management, tp_* Third Party, uaa_* Users.
# ============================================================================
cm_account_of_bkstmt_file,entity,CODE,ANY,BASE,
cm_account_of_bkstmt_file,account,CODE,BANK_ACCOUNT,BASE,
cm_account_of_bkstmt_file,bank,CODE,ANY,BASE,
cm_archived_forecast,entity,CODE,ANY,BASE,
cm_archived_forecast,bank,CODE,ANY,BASE,
cm_bkstmt_file_config,collator,CODE,ANY,BASE,
cm_bkstmt_file_config,bank,CODE,ANY,BASE,
cm_bsi_bank_statement,entity,CODE,ANY,BASE,
cm_bsi_bank_statement,bank_account,CODE,BANK_ACCOUNT,BASE,
cm_cash_concent_accounts,entity,CODE,ANY,BASE,
cm_cash_concent_accounts,account,CODE,BANK_ACCOUNT,BASE,
cm_cash_concent_accounts,bank,CODE,ANY,BASE,
cm_cash_concent_header,master_account,CODE,BANK_ACCOUNT,BASE,
cm_cash_concent_header,compte_tiers,CODE,BANK_ACCOUNT,BASE,
cm_cash_concent_header,compte_entite,CODE,BANK_ACCOUNT,BASE,
cm_cash_concent_header,compte_filiale,CODE,BANK_ACCOUNT,BASE,
cm_cash_concent_header,entity,CODE,ANY,BASE,
cm_cash_concent_header,filiale,CODE,ANY,BASE,
cm_cash_concent_header,intermediaire,CODE,ANY,BASE,
cm_cash_concent_header,portefeuille,CODE,ANY,BASE,
cm_cash_concent_header,contrepartie,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_1,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_2,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_3,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_4,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_5,CODE,ANY,BASE,
cm_cash_concent_header,portefeuille_tiers,CODE,ANY,BASE,
cm_cash_concent_header,depositaire,CODE,ANY,BASE,
cm_cash_concent_header,depositaire_2,CODE,ANY,BASE,
cm_cash_concent_header,emetteur,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_sender1,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_sender2,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_receiver1,CODE,ANY,BASE,
cm_cash_concent_header,correspondant_receiver2,CODE,ANY,BASE,
cm_deal_deal,compte_tiers,CODE,BANK_ACCOUNT,BASE,
cm_deal_deal,compte_entite,CODE,BANK_ACCOUNT,BASE,
cm_deal_deal,compte_filiale,CODE,BANK_ACCOUNT,BASE,
cm_deal_deal,compte_tiers_2,CODE,BANK_ACCOUNT,BASE,
cm_deal_deal,entity,CODE,ANY,BASE,
cm_deal_deal,filiale,CODE,ANY,BASE,
cm_deal_deal,intermediaire,CODE,ANY,BASE,
cm_deal_deal,portefeuille,CODE,ANY,BASE,
cm_deal_deal,portefeuille_deposit,CODE,ANY,BASE,
cm_deal_deal,contrepartie,CODE,ANY,BASE,
cm_deal_deal,correspondant_1,CODE,ANY,BASE,
cm_deal_deal,correspondant_2,CODE,ANY,BASE,
cm_deal_deal,correspondant_3,CODE,ANY,BASE,
cm_deal_deal,correspondant_4,CODE,ANY,BASE,
cm_deal_deal,correspondant_5,CODE,ANY,BASE,
cm_deal_deal,correspondant_6,CODE,ANY,BASE,
cm_deal_deal,correspondant_7,CODE,ANY,BASE,
cm_deal_deal,correspondant_8,CODE,ANY,BASE,
cm_deal_deal,correspondant_9,CODE,ANY,BASE,
cm_deal_deal,correspondant_10,CODE,ANY,BASE,
cm_deal_deal,portefeuille_tiers,CODE,ANY,BASE,
cm_deal_deal,depositaire,CODE,ANY,BASE,
cm_deal_deal,depositaire_2,CODE,ANY,BASE,
cm_deal_deal,emetteur,CODE,ANY,BASE,
cm_deal_deal,correspondant_sender1,CODE,ANY,BASE,
cm_deal_deal,correspondant_sender2,CODE,ANY,BASE,
cm_deal_deal,correspondant_receiver1,CODE,ANY,BASE,
cm_deal_deal,correspondant_receiver2,CODE,ANY,BASE,
cm_deal_deal,compensateur,CODE,ANY,BASE,
cm_deal_deal,depositaire_bis,CODE,ANY,BASE,
cm_deal_deal,depositaire_2_bis,CODE,ANY,BASE,
cm_deal_deal,corresp_inter_sender1,CODE,ANY,BASE,
cm_deal_deal,corresp_inter_sender2,CODE,ANY,BASE,
cm_deal_deal,corresp_inter_receiver1,CODE,ANY,BASE,
cm_deal_deal,corresp_inter_receiver2,CODE,ANY,BASE,
cm_deal_deal,clearing_member,CODE,ANY,BASE,
cm_fli_flow,entity,CODE,ANY,BASE,
cm_fli_flow,portfolio,CODE,ANY,BASE,
cm_fli_flow,account,CODE,BANK_ACCOUNT,BASE,
cm_fli_flow,counterparty,CODE,ANY,BASE,
cm_flow_to_pay_rules,entity,CODE,ANY,BASE,
cm_flow_to_pay_rules,bank,CODE,ANY,BASE,
